Temperature (F),Humidity,Pressure (atm),Light Level,Rain Water Level (in),,Index,Approx Time (hr)
69.62,53,0.98,312,6.63,,0,0.00
69.62,53,0.98,312,6.76,,1,0.01
69.62,47,0.98,311,6.66,,2,0.02
69.26,45,0.98,309,6.47,,3,0.03
68.72,46,0.98,307,1.78,,4,0.03
68.36,47,0.98,305,1.71,,5,0.04
67.82,48,0.98,304,1.71,,6,0.05
67.64,49,0.98,304,1.71,,7,0.06
67.46,50,0.98,304,1.71,,8,0.07
67.1,50,0.98,303,1.71,,9,0.08
66.92,50,0.98,303,1.71,,10,0.08
66.74,50,0.98,303,1.7,,11,0.09
66.38,50,0.98,304,1.68,,12,0.10
66.2,50,0.98,305,1.71,,13,0.11
65.84,51,0.98,306,1.71,,14,0.12
65.66,52,0.98,308,1.71,,15,0.13
65.66,52,0.98,309,1.71,,16,0.13
65.48,52,0.98,310,1.68,,17,0.14
65.12,53,0.98,311,1.68,,18,0.15
64.94,54,0.98,314,1.71,,19,0.16
64.76,55,0.98,316,1.71,,20,0.17
64.76,55,0.98,316,1.68,,21,0.18
64.76,55,0.98,316,1.68,,22,0.18
64.76,56,0.98,317,1.68,,23,0.19
64.76,56,0.98,318,1.68,,24,0.20
64.76,56,0.98,319,1.68,,25,0.21
64.58,56,0.98,319,1.68,,26,0.22
64.4,56,0.98,321,1.71,,27,0.23
64.22,56,0.98,319,1.62,,28,0.23
64.04,56,0.98,318,1.71,,29,0.24
64.04,56,0.98,318,1.63,,30,0.25
64.04,56,0.98,317,1.71,,31,0.26
63.86,56,0.98,317,1.68,,32,0.27
63.86,56,0.98,317,1.71,,33,0.28
63.86,56,0.98,317,1.76,,34,0.28
63.86,56,0.98,317,1.71,,35,0.29
63.68,56,0.98,317,1.71,,36,0.30
63.68,56,0.98,316,1.75,,37,0.31
63.68,57,0.98,316,1.76,,38,0.32
63.68,57,0.98,314,1.75,,39,0.33
63.68,57,0.98,314,1.75,,40,0.33
63.68,58,0.98,314,1.75,,41,0.34
63.68,58,0.98,312,1.76,,42,0.35
63.68,58,0.98,312,1.73,,43,0.36
63.68,58,0.98,311,1.8,,44,0.37
63.68,58,0.98,310,1.82,,45,0.38
63.68,58,0.98,310,2.01,,46,0.38
63.5,57,0.98,309,2.06,,47,0.39
63.32,57,0.98,311,2.08,,48,0.40
63.32,57,0.98,311,2.19,,49,0.41
63.32,57,0.98,311,2.19,,50,0.42
63.32,57,0.97,310,2.3,,51,0.43
63.32,58,0.97,310,2.34,,52,0.43
63.14,58,0.97,308,2.46,,53,0.44
63.14,58,0.97,306,2.54,,54,0.45
62.96,57,0.97,304,2.54,,55,0.46
62.78,57,0.97,303,2.62,,56,0.47
62.78,57,0.97,302,2.64,,57,0.48
62.78,57,0.97,301,2.71,,58,0.48
62.78,58,0.97,302,2.71,,59,0.49
62.78,58,0.97,302,2.73,,60,0.50
62.78,57,0.97,304,2.77,,61,0.51
62.78,57,0.97,305,2.9,,62,0.52
62.78,58,0.97,305,3.32,,63,0.53
62.96,57,0.97,307,3.41,,64,0.53
62.96,57,0.97,309,3.51,,65,0.54
62.96,57,0.97,311,3.51,,66,0.55
62.96,57,0.97,313,3.53,,67,0.56
62.96,57,0.97,313,3.46,,68,0.57
62.96,58,0.97,315,3.41,,69,0.58
62.96,58,0.97,315,3.41,,70,0.58
63.14,58,0.97,316,3.39,,71,0.59
63.14,58,0.97,317,3.41,,72,0.60
63.14,58,0.97,317,3.51,,73,0.61
63.14,58,0.97,317,3.48,,74,0.62
